,Char,Genre,Title,line_count,gender
627,DEAN,Comedy,cedarrapids,420,
628,TIM,Comedy,cedarrapids,1174,
629,FEMALE ROOMMATE,Comedy,humannature,29,
630,ROSE,Comedy,humannature,134,
631,FATHER,Comedy,humannature,45,
632,MOTHER,Comedy,humannature,44,
633,NATHAN,Comedy,humannature,970,
634,DISSOLVE TO:,Comedy,humannature,31,
635,LILA,Comedy,humannature,785,
636,GABRIELLE,Comedy,humannature,321,
637,PUFF,Comedy,humannature,354,
638,NARRATOR,Comedy,hospitalthe,60,
639,NURSE PEREZ,Comedy,hospitalthe,36,
640,MRS. REARDON,Comedy,hospitalthe,34,
641,MISS LEBOW,Comedy,hospitalthe,23,
642,EINHORN,Comedy,hospitalthe,28,
643,BRUBAKER,Comedy,hospitalthe,127,
